Activity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Personal care,88.4,93.4,95.6,96.3,93.7,88.3,75.2,53.3,32.4,19.9,12.1,8.3,5.9,5.6,6.2,6.5,6.5,6.3,5.6,6.9,12.8,26.8,53.1,76.8
Sleeping,87.2,92.7,94.9,95.1,91.7,84.8,66.6,42.9,23.8,13.8,7.4,5.2,3.7,4.1,4.4,4.3,4.0,3.3,3.0,3.9,7.7,21.0,47.5,74.0
Eating and drinking,0.4,0.2,0.1,0.1,0.5,1.3,2.8,5.8,7.5,6.6,5.1,6.6,16.4,10.7,6.1,4.3,4.8,8.9,15.7,13.7,8.6,4.0,2.0,0.8
Housework,0.5,0.4,0.3,0.3,1.2,1.9,5.3,9.3,12.1,13.2,14.7,14.7,14.6,13.1,12.2,12.6,13.5,15.9,15.6,12.3,8.4,5.2,3.2,1.1
Shopping,0.1,0.1,0.1,0,0,0.2,0.3,1.0,1.9,3.7,5.7,7.2,7.6,7.1,6.5,5.7,5.7,5.1,5.1,3.3,2.1,1.1,0.4,0.3
Household Care,0.4,0.5,0.5,0.4,0.7,0.5,2.5,6.4,6.1,4.5,4.2,3.4,3.7,3.4,4.4,5.8,6.5,6.7,7.6,8.2,8.0,4.8,2.7,0.8
Non-Household Care,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.5,1.0,1.1,1.7,2.0,2.0,1.7,2.0,1.9,2.2,2.0,1.6,1.3,1.1,0.8,0.3,0.3
Working,1.8,1.3,1.1,1.1,1.9,3.7,7.8,15.6,25.0,30.3,32.5,31.8,24.8,30.1,31.5,30.6,26.5,18.5,10.7,7.1,6.0,4.8,3.5,2.3
Education,0.3,0.2,0.1,0.1,0,0.1,0.2,0.7,2.2,3.4,3.8,3.8,3.1,3.2,3.4,2.9,2.4,1.8,1.6,1.3,1.3,0.9,0.8,0.6
Religion,0.2,0,0,0,0.1,0.2,0.4,0.4,0.5,1.1,1.4,1.5,0.8,0.5,0.4,0.2,0.2,0.4,0.5,0.8,0.7,0.5,0.3,0.2
Volunteering,0,0,0,0,0,0,0,0.2,0.3,0.6,0.8,0.7,0.9,0.7,0.6,0.6,0.6,0.6,0.8,0.8,0.6,0.2,0.3,0.1
Leisure,7.5,3.7,2.1,1.6,1.9,3.4,5.6,8.3,11.5,15.3,17.8,19.8,20.3,23.9,26.8,29.1,31.5,34.1,36.2,45.8,51.7,50.8,32.8,16.5
Socializinig and communicating,0.5,0.3,0.1,0.1,0,0.1,0.2,0.5,1.0,1.3,1.6,2.2,2.6,3.1,3.5,4.1,4.4,4.9,5.2,5.7,5.2,4.1,2.8,1.4
Electronic Communication,0.2,0.1,0.1,0,0.1,0.1,0.1,0.3,0.6,0.8,0.8,0.8,0.7,0.6,0.8,1.0,1.1,1.4,1.3,1.4,1.5,1.3,1.0,0.4
Other,0.3,0.1,0.1,0.1,0.1,0.4,0.6,1.0,1.3,1.3,1.3,1.3,1.2,1.0,1.4,1.5,1.4,1.1,1.0,0.9,0.9,0.9,0.7,0.3
